City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,saint-michel-des-saints,46.6834,-73.9159,40.93,85,48,8.03,CA,1651467950
345,noyabrsk,63.1994,75.4507,32.56,82,100,5.77,RU,1651467951
346,nerchinskiy zavod,51.3088,119.61,67.37,28,100,16.2,RU,1651467952
347,srandakan,-7.9386,110.2506,88.95,64,95,9.84,ID,1651467952
348,longyearbyen,78.2186,15.6401,10.24,67,40,4.61,SJ,1651467482
349,mount isa,-20.7333,139.5,85.77,37,75,9.22,AU,1651467529
350,san quintin,30.4833,-115.95,57.92,83,0,10.85,MX,1651467953
351,eureka,40.8021,-124.1637,51.93,83,36,0.63,US,1651467954
352,paso de los toros,-32.8167,-56.5167,49.44,83,99,8.23,UY,1651467954
353,honggang,46.4667,124.8667,59.13,23,67,17.2,CN,1651467955
354,shakhtinsk,49.71,72.5872,66.2,43,88,12.48,KZ,1651467955
355,kousseri,12.0769,15.0306,89.19,34,89,7.76,CM,1651467468
356,sabratah,32.7933,12.4885,60.82,71,0,10.58,LY,1651467956
357,sebinkarahisar,40.2883,38.4236,45.01,80,100,2.64,TR,1651467957
358,malanje,-9.5402,16.341,56.68,81,31,4.59,AO,1651467262
359,zaria,11.1113,7.7227,78.51,52,99,9.17,NG,1651467957
360,palmerston,-12.486,130.9833,92.89,40,0,14.97,AU,1651467958
361,quatre cocos,-20.2078,57.7625,82.09,78,3,8.39,MU,1651467958
362,juneau,58.3019,-134.4197,47.21,95,100,5.99,US,1651467538
